Date	Symbol	Series	Prev Close	Open	High	Low	Last	Close	VWAP	Volume	Turnover	Trades	Deliverable Volume	%Deliverble
1/3/2000	TITAN	EQ	144.95	146	156.45	146	155	155.7	154.36	23000	3.55037E+11			
1/4/2000	TITAN	EQ	155.7	152	152	144	148.05	147.4	146.72	26300	3.8587E+11			
1/5/2000	TITAN	EQ	147.4	144	148.8	136	139.95	138.4	142.95	20600	2.94485E+11			
1/6/2000	TITAN	EQ	138.4	142	149.5	141	149.5	149.5	147.87	31600	4.67275E+11			
1/7/2000	TITAN	EQ	149.5	149.5	153	145	147.75	146.35	148.63	36600	5.43997E+11			
1/10/2000	TITAN	EQ	146.35	150	150	141.05	144.65	144.9	145.28	33100	4.80879E+11			
1/11/2000	TITAN	EQ	144.9	138	146.7	137.1	142	141	142.34	75600	1.07606E+12			
1/12/2000	TITAN	EQ	141	151.9	152.3	145.5	148	147.9	151.23	19711	2.98091E+11			
1/13/2000	TITAN	EQ	147.9	151.5	157	146.3	148.6	148.85	154.34	62777	9.68925E+11			
1/14/2000	TITAN	EQ	148.85	150	150	143.05	144	144.5	144.56	14332	2.07191E+11			
1/17/2000	TITAN	EQ	144.5	143	150.5	141.8	143.9	143.75	144.02	7947	1.1445E+11			
1/18/2000	TITAN	EQ	143.75	142.05	144.8	135.75	140	139.2	139.23	35683	4.96804E+11			
1/19/2000	TITAN	EQ	139.2	142.6	145	140	142.65	142.15	142.34	22876	3.25617E+11			
1/20/2000	TITAN	EQ	142.15	142.5	142.5	137.9	141	141.1	139.73	19869	2.77629E+11			
1/21/2000	TITAN	EQ	141.1	139	140.95	137.15	138.6	138.85	138.9	13270	1.84319E+11			
1/24/2000	TITAN	EQ	138.85	139.1	143	139	140	140.05	140.91	10451	1.47266E+11			
1/25/2000	TITAN	EQ	140.05	140	140.4	136.7	137.3	137.7	138.55	8983	1.24455E+11			
1/27/2000	TITAN	EQ	137.7	140	144.9	136.5	138.8	138.7	138.6	4109	56952240000			
1/28/2000	TITAN	EQ	138.7	135	138	134.9	136	136.2	136.28	8399	1.14459E+11			
1/31/2000	TITAN	EQ	136.2	132	137.9	132	136	136.05	135.67	13556	1.83919E+11			
2/1/2000	TITAN	EQ	136.05	131	143.85	125.2	132.7	134.75	133.68	6038	80716705000			
2/2/2000	TITAN	EQ	134.75	136.95	136.95	127	129.5	129.1	131.91	7818	1.03125E+11			
2/3/2000	TITAN	EQ	129.1	127	129.5	125	125.1	125.55	126.74	6218	78809755000			
2/4/2000	TITAN	EQ	125.55	128.7	128.7	120	124	123.7	122.31	5275	64516300000			
2/7/2000	TITAN	EQ	123.7	127	127	113.8	114	114	116.61	7818	91167655000			
2/8/2000	TITAN	EQ	114	107	120	107	117.35	118.1	116.46	9764	1.13712E+11			
2/9/2000	TITAN	EQ	118.1	119.9	123.4	115	116.5	117.5	118.88	13661	1.62406E+11			
2/10/2000	TITAN	EQ	117.5	119	120.9	116	117.1	117.1	117.51	8545	1.00408E+11			
2/11/2000	TITAN	EQ	117.1	116	116	108	108	108.7	110.11	15556	1.71294E+11			
2/14/2000	TITAN	EQ	108.7	104.4	106.95	102	102	102.05	103.72	5161	53532350000			
2/15/2000	TITAN	EQ	102.05	102	107	100	102	102.05	103.12	14364	1.48117E+11			
2/16/2000	TITAN	EQ	102.05	105	107.8	103.1	103.25	104	105.72	6534	69077220000			
2/17/2000	TITAN	EQ	104	105.95	110.8	104.2	109.85	109.95	106.89	8806	94131090000			
2/18/2000	TITAN	EQ	109.95	107.4	110	105.3	107.75	106.75	106.97	4141	44297760000			
2/21/2000	TITAN	EQ	106.75	102	109.7	102	107	106.45	105.76	7977	84363815000			
2/22/2000	TITAN	EQ	106.45	105	108	105	107.7	107.25	106.12	10745	1.14031E+11			
2/23/2000	TITAN	EQ	107.25	105.05	108.5	105.05	108.5	108.5	106.09	2807	29779170000			
2/24/2000	TITAN	EQ	108.5	105	108	105	108	107.05	106.66	1562	16660500000			
2/25/2000	TITAN	EQ	107.05	107.75	107.75	100	101	102.6	103.41	3021	31240050000			
2/28/2000	TITAN	EQ	102.6	101	103	100.5	103	102.95	101.13	7728	78155090000			
2/29/2000	TITAN	EQ	102.95	101.1	108.95	100	100.25	101.1	102.61	4410	45250385000			
3/1/2000	TITAN	EQ	101.1	102.6	104	100	101.75	101.65	102.07	1966	20067190000			
3/2/2000	TITAN	EQ	101.65	102.95	105	96	96	96.2	101.33	21054	2.13339E+11			
3/3/2000	TITAN	EQ	96.2	95.95	95.95	88.5	92.85	89.4	89.5	3765	33698275000			
3/6/2000	TITAN	EQ	89.4	91	94.2	84.55	87.6	87.6	90.2	15524	1.40033E+11			
3/7/2000	TITAN	EQ	87.6	86.5	89	81.1	85.2	85.2	84.83	4579	38844725000			
3/8/2000	TITAN	EQ	85.2	87.7	87.7	78.5	80	80	81.79	3464	28332755000			
3/9/2000	TITAN	EQ	80	80	80	73.7	74	74.05	75.48	3086	23293085000			
3/10/2000	TITAN	EQ	74.05	71.55	75.95	69	72.15	72.45	71.94	8192	58934425000			
3/13/2000	TITAN	EQ	72.45	72	75	70.05	75	74.5	73.5	4465	32818705000			
3/14/2000	TITAN	EQ	74.5	75.05	80.5	75.05	80.5	80.5	79.09	5800	45875020000			
3/15/2000	TITAN	EQ	80.5	86	86.95	85	86.95	86.95	86.85	5649	49059930000			
3/16/2000	TITAN	EQ	86.95	93.85	93.95	88.05	90	91	91.68	20071	1.84008E+11			
3/21/2000	TITAN	EQ	91	92	93.5	89	90	90.4	90.26	22436	2.02518E+11			
3/22/2000	TITAN	EQ	90.4	96.95	96.95	91.5	96.9	96.2	94.69	8459	80096715000			
3/23/2000	TITAN	EQ	96.2	100.3	100.3	95.05	98.2	98.1	98.35	8573	84317230000			
3/24/2000	TITAN	EQ	98.1	96	96.1	93.3	94.5	94.5	94.64	10338	97840485000			
3/27/2000	TITAN	EQ	94.5	98.9	98.9	87.5	88.6	88.6	89.33	10095	90174940000			
3/28/2000	TITAN	EQ	88.6	88.5	89.95	86.05	89.95	88.45	87.93	10129	89066500000			
3/29/2000	TITAN	EQ	88.45	90	93.7	88	88	88.1	89.85	9654	86744985000			
3/30/2000	TITAN	EQ	88.1	86.3	90	86.25	90	89.55	89.58	13190	1.18158E+11			
3/31/2000	TITAN	EQ	89.55	84.1	90	84.1	90	89.9	89.62	6741	60412075000			
4/3/2000	TITAN	EQ	89.9	91	91.75	88.25	90.3	90	90.01	6653	59885070000			
4/4/2000	TITAN	EQ	90	88	88	82.8	84	85.15	84.8	19169	1.6256E+11			
4/5/2000	TITAN	EQ	85.15	85	88.95	83	83	83.55	84.91	9305	79008685000			
4/6/2000	TITAN	EQ	83.55	85.25	85.25	76.9	76.95	77.15	78.33	10175	79695800000			
4/7/2000	TITAN	EQ	77.15	81.9	83.35	78.5	83.35	83.35	81.83	11468	93838300000			
4/10/2000	TITAN	EQ	83.35	88	89	81.1	83.5	83.6	85.49	21022	1.79727E+11			
4/11/2000	TITAN	EQ	83.6	77.5	84	77.5	84	83.8	82.52	3735	30821250000			
4/12/2000	TITAN	EQ	83.8	82.5	84.9	82	82.35	82.35	83.06	5339	44345370000			
4/13/2000	TITAN	EQ	82.35	77	84	77	82	81.5	82.86	14904	1.23496E+11			
4/17/2000	TITAN	EQ	81.5	78.15	83.5	78.15	83	83.15	82.02	6273	51450395000			
4/18/2000	TITAN	EQ	83.15	83	84.5	81	81.25	81.45	81.98	5101	41817550000			
4/19/2000	TITAN	EQ	81.45	83	83	81.1	82	81.75	81.97	2622	21491330000			
4/20/2000	TITAN	EQ	81.75	79.25	82	79.25	80	80.5	80.26	6812	54670170000			
4/24/2000	TITAN	EQ	80.5	78.05	78.95	74.1	74.1	75.2	76.4	10235	78193115000			
4/25/2000	TITAN	EQ	75.2	72	74	70	70.6	70.75	71.43	11868	84772410000			
4/26/2000	TITAN	EQ	70.75	75	76.4	74	76	76	75.31	7078	53305200000			
4/27/2000	TITAN	EQ	76	76.1	77	73	73	73.15	74.53	9028	67283800000			
4/28/2000	TITAN	EQ	73.15	73.05	73.05	69	70	69.95	70.51	10282	72494050000			
5/2/2000	TITAN	EQ	69.95	69.5	69.5	66	69	68.2	68.28	8326	56849100000			
5/3/2000	TITAN	EQ	68.2	68	71	67	70	70	69.69	4574	31877240000			
5/4/2000	TITAN	EQ	70	70	71	69	69.4	69.8	70.05	5305	37161200000			
5/5/2000	TITAN	EQ	69.8	70	70	68	68.85	68.95	69.13	6754	46688010000			
5/8/2000	TITAN	EQ	68.95	69	69.25	65	65	65.6	66.82	12584	84085900000			
5/9/2000	TITAN	EQ	65.6	65	67.9	61.3	67.8	65.5	65.25	6344	41394215000			
5/10/2000	TITAN	EQ	65.5	67.95	69	62	63	62.5	65.11	27496	1.79039E+11			
5/11/2000	TITAN	EQ	62.5	61	63.95	60	60	60.45	61.38	18095	1.11069E+11			
5/12/2000	TITAN	EQ	60.45	62	62.55	61	61.45	61.1	61.69	6125	37783115000			
5/15/2000	TITAN	EQ	61.1	62	62	58	59	59.6	59.94	6497	38940775000			
5/16/2000	TITAN	EQ	59.6	60	61	59	59.15	59.85	59.75	7026	41981065000			
5/17/2000	TITAN	EQ	59.85	62.95	64.5	61	62.3	62.6	62.89	12297	77335710000			
5/18/2000	TITAN	EQ	62.6	62	64	62	62.75	62.8	63.02	5217	32877715000			
5/19/2000	TITAN	EQ	62.8	63.75	63.9	59	59	59.7	60.84	11639	70808630000			
5/22/2000	TITAN	EQ	59.7	60	61	57.75	60	59.85	59.73	8156	48713245000			
5/23/2000	TITAN	EQ	59.85	60	61	59.25	61	60.05	60.06	6924	41584025000			
